Category: All categories,,
,,
Week,Tesla: (United States),TSLA: (United States)
4/5/2020,29,6
4/12/2020,34,10
4/19/2020,29,7
4/26/2020,41,14
5/3/2020,37,8
5/10/2020,44,8
5/17/2020,35,6
5/24/2020,43,5
5/31/2020,41,7
6/7/2020,51,11
6/14/2020,47,7
6/21/2020,46,6
6/28/2020,52,10
7/5/2020,61,17
7/12/2020,68,20
7/19/2020,74,23
7/26/2020,52,12
8/2/2020,47,8
8/9/2020,56,14
8/16/2020,68,20
8/23/2020,70,17
8/30/2020,100,34
9/6/2020,74,24
9/13/2020,64,19
9/20/2020,85,25
9/27/2020,61,14
10/4/2020,53,11
10/11/2020,57,11
10/18/2020,60,14
10/25/2020,47,10
11/1/2020,38,8
11/8/2020,44,8
11/15/2020,58,18
11/22/2020,58,13
11/29/2020,59,16
12/6/2020,66,18
12/13/2020,61,16
12/20/2020,63,15
12/27/2020,61,11
1/3/2021,76,20
1/10/2021,74,18
1/17/2021,59,11
1/24/2021,83,19
1/31/2021,71,13
2/7/2021,67,12
2/14/2021,61,10
2/21/2021,77,20
2/28/2021,69,17
3/7/2021,76,20
3/14/2021,60,12
3/21/2021,61,12
3/28/2021,60,11
4/4/2021,58,12
4/11/2021,60,12
4/18/2021,67,11
